EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
PDMJ IN Equity,PUDUMJEE PAPER P,9251928000.00,9251928000.00,97.44,9.66,-45.33,8090799000.00
TAALENT IN Equity,TAAL ENTERPRISES,9243849457.50,9243849457.50,2966.25,18.95,5.82,1851402000.00
CAMLN IN Equity,KOKUYO CAMLIN LT,9225944075.88,9225944075.88,91.98,158.59,-28.61,7625288000.00
GALAPREC IN Equity,GALA PRECISION E,9192948275.00,9192948275.00,721.00,34.11,-45.32,2378350000.00
ETL IN Equity,EMKAY TOOLS LTD,9181052955.00,9181052955.00,860.35,,,1165499422.05
MVGJL IN Equity,MANOJ VAIBHAV GE,9174526368.62,9174526368.62,187.82,9.14,-32.93,23840170000.00
GNDI IN Equity,GANDHI SPECIAL T,9164430800.00,9164430800.00,754.15,15.62,-2.21,1725368000.00
GRP IN Equity,GRP LTD,9161064376.40,9161064376.40,1717.70,29.84,-46.76,5504533000.00
SMPI IN Equity,SOMA PAPERS,9157215873.00,9157215873.00,79.30,,10.51,0.00
BCSS IN Equity,BLUE CLOUD SOFTE,9144462336.00,9144462336.00,20.96,20.75,-57.33,7968559000.00
JBM IN Equity,JAY BHARAT MARUT,9142795000.00,9142795000.00,84.46,27.78,-2.10,22901243000.00
EWIL IN Equity,ENKEI WHEELS IND,9133942894.25,9133942894.25,508.15,343.34,-24.74,8444630000.00
ALDS IN Equity,ALLIED DIGITAL,9115163705.12,9115163705.12,161.29,28.04,-30.66,8070700000.00
PVSL IN Equity,POPULAR VEHICLES,9106249524.20,9106249524.20,127.90,,-17.22,55412290000.00
HEXA IN Equity,HEXA TRADEX LTD,9093278278.40,9093278278.40,164.60,,-39.37,45614000.00
GGBL IN Equity,GANESH GREEN BHA,9092046600.00,9092046600.00,366.60,27.90,-34.56,3180119000.00
AYMS IN Equity,AYM SYNTEX LTD,9089442079.56,9089442079.56,155.16,72.85,-37.45,14889970000.00
PVPV IN Equity,PVP VENTURES LTD,9077672319.66,9077672319.66,34.86,,6.83,272033000.00
MAC IN Equity,MAC CHARLES LTD,9068787897.00,9068787897.00,692.25,,10.45,98310000.00
NEXT50 IN Equity,M NIFTY N50 ETF,9037113458.10,9037113458.10,705.67,,1.84,
INNOVANA IN Equity,INNOVANA THINKLA,9018975000.00,9018975000.00,439.95,,3.02,155069000.00
ABCOTS IN Equity,AB COTSPIN INDIA,9002887838.00,9002887838.00,409.90,42.70,-7.51,2962592000.00
FAIRORGA IN Equity,FAIRCHEM ORGANIC,8994839101.60,8994839101.60,690.80,40.92,-42.84,5378984000.00
HZOR IN Equity,HAZOOR MULTI PRO,8990496599.70,8990496599.70,38.33,19.18,-25.61,6376800000.00
BESTAGRO IN Equity,BEST AGROLIFE LT,8981454489.00,8981454489.00,379.85,12.85,-39.23,18143100000.00
OTE IN Equity,ORICON ENTERPRIS,8967424526.50,8967424526.50,57.10,380.67,48.13,1725984000.00
GICHF IN Equity,GIC HOUSING FIN,8943046530.62,8943046530.62,166.07,5.57,-16.88,10789100000.00
NCLI IN Equity,NCL INDS LTD,8894575825.60,8894575825.60,196.64,35.30,-9.07,14108368000.00
UPGL IN Equity,UNITED POLYFAB G,8861593455.00,8861593455.00,38.61,50.10,136.87,6022177000.00
SNCH IN Equity,SUNSHIELD CHEMIC,8857279335.60,8857279335.60,1007.10,51.48,15.85,3657948000.00
TVSEL IN Equity,TVS ELECTRONICS,8857036018.20,8857036018.20,474.90,,8.50,4305000000.00
FREDUN IN Equity,FREDUN PHARMACEU,8848866754.20,8848866754.20,1874.10,44.83,154.35,4517065000.00
SAHANA IN Equity,SAHANA SYSTEM LT,8848150380.00,8848150380.00,1001.25,23.69,-42.48,1674507000.00
ECORL IN Equity,ECO RECYCLING LT,8831157637.50,8831157637.50,457.65,13.40,-52.42,439592000.00
HARDWYN IN Equity,HARDWYN INDIA LT,8742969566.60,8742969566.60,17.90,77.83,-1.81,1846018000.00
GULP IN Equity,GULSHAN POLYOLS,8716913099.36,8716913099.36,139.76,35.38,-20.02,20196773000.00
VDE IN Equity,VADILAL ENT LTD,8712946800.00,8712946800.00,10100.00,151.59,25.99,11191200000.00
UTSM IN Equity,UTTAM SUGAR MILL,8708076939.60,8708076939.60,228.33,9.86,-11.31,18460074000.00
KMSCIRG IN Equity,KOTAK MSCI INDIA,8677899144.00,8677899144.00,30.96,,,
VKI IN Equity,VAKRANGEE LTD,8665534456.00,8665534456.00,8.00,133.33,-76.55,2550074000.00
RNFI IN Equity,RNFI SERVICES LT,8661078004.80,8661078004.80,347.10,47.61,98.00,9233606000.00
PENL IN Equity,PENINSULA LAND,8647592561.80,8647592561.80,26.69,,-37.17,2498500000.00
AIRFLOA IN Equity,AIRFLOA RAIL TEC,8647160905.50,8647160905.50,360.75,,,1867295000.00
MCIL IN Equity,MORGANITE CRUCIB,8643600000.00,8643600000.00,1543.50,31.38,0.37,1741862000.00
ELIN IN Equity,ELIN ELECTRONICS,8615378077.80,8615378077.80,173.49,28.39,-17.27,11802060000.00
COOLCAPS IN Equity,COOL CAPS INDUST,8589080000.00,8589080000.00,74.30,84.93,6.41,2384891000.00
SYGIL IN Equity,SYNERGY GREEN IN,8586730350.00,8586730350.00,552.45,50.84,18.88,3622690000.00
INAM IN Equity,INDO AMINES LTD,8564606204.40,8564606204.40,117.99,15.50,-30.20,10786786000.00
BMW IN Equity,BMW INDUSTRIES L,8528525969.40,8528525969.40,37.89,11.38,-28.64,5899501000.00
BASILIC IN Equity,BASILIC FLY STUD,8526937500.00,8526937500.00,337.50,20.95,2.23,3040900000.00
ARAY IN Equity,ANAND RAYONS LTD,8524918346.00,8524918346.00,400.25,172.72,165.95,3137516000.00
VEEFIN IN Equity,VEEFIN SOLUTIONS,8509640031.95,8509640031.95,348.85,58.93,-46.24,785976000.00
FOCE IN Equity,FOCE INDIA LTD,8508796575.00,8508796575.00,1739.00,59.09,-0.46,1042516000.00
ABML IN Equity,ADITYA BIRLA MON,8492767818.29,8492767818.29,150.29,16.04,-44.31,3901932000.00
OSWALGRE IN Equity,OSWAL GREENTECH,8490110796.54,8490110796.54,33.06,100.18,-30.27,659576000.00
RATNAVEE IN Equity,RATNAVEER PRECIS,8475700880.53,8475700880.53,159.77,17.16,-15.12,8918780000.00
VHLTD IN Equity,VICEROY HOTELS,8453450605.32,8453450605.32,125.09,10.84,0.98,1246520000.00
SEJAL IN Equity,SEJAL GLASS LTD,8449155000.00,8449155000.00,836.55,76.60,34.37,2435791000.00
SRAY IN Equity,SREE RAYALASEEMA,8447666655.15,8447666655.15,492.15,9.66,-36.33,6378226000.00
BRIGHTOM IN Equity,BRIGHT OUTDOOR M,8404101226.60,8404101226.60,385.10,44.06,17.60,1267455374.00
DT10ETF IN Equity,DSP NIF T10 ETF,8392188089.20,8392188089.20,102.11,,9.62,
SAKAR IN Equity,SAKAR HEALTHCARE,8363741169.00,8363741169.00,375.90,47.16,26.80,1775847000.00
BLAL IN Equity,BEML LAND ASSETS,8362632045.00,8362632045.00,200.81,,-13.89,0.00
CWD IN Equity,CWD LTD,8348218922.00,8348218922.00,1899.50,88.17,149.93,663924000.00
APEX IN Equity,APEX FROZEN FOOD,8339062500.00,8339062500.00,266.85,215.20,-1.62,8135524000.00
SHRADDHA IN Equity,SHRADDHA PRIME P,8334726300.00,8334726300.00,206.30,19.88,85.34,1555828000.00
KCF IN Equity,KHAITAN CHEMICAL,8324583036.00,8324583036.00,85.83,595.00,19.52,7193017000.00
CCCL IN Equity,CCC LTD,8318660977.62,8318660977.62,18.62,8.62,24.22,1819871000.00
UPHT IN Equity,UP HOTELS LTD,8316000000.00,8316000000.00,1540.00,27.97,-6.29,1529087000.00
AMFS IN Equity,ARYAMAN FIN SERV,8299791900.00,8299791900.00,677.70,17.54,63.32,1128689000.00
ANUH IN Equity,ANUH PHARMA LTD,8243424000.00,8243424000.00,82.25,17.41,-25.98,6615149000.00
TVTN IN Equity,TV TODAY NETWORK,8178777058.05,8178777058.05,137.07,9.93,-32.26,9413900000.00
KE IN Equity,KABRA EXTRUSIONS,8161960465.68,8161960465.68,233.38,25.34,-57.31,4768475000.00
C2C IN Equity,C2C ADVANCED SYS,8135867035.20,8135867035.20,488.90,23.20,-40.11,1151111000.00
BIZOTIC IN Equity,BIZOTIC COMMERCI,8135274000.00,8135274000.00,1011.85,214.38,740.97,1108043000.00
AZADIND IN Equity,AZAD INDIA MOBIL,8095696999.80,8095696999.80,148.70,,14.56,90318000.00
AMAL IN Equity,AMAL LTD,8095689210.70,8095689210.70,654.85,27.64,46.00,1348431000.00
TOTEM IN Equity,FORBES PRECISION,8095171401.60,8095171401.60,156.90,28.17,-43.42,2326617000.00
MALU IN Equity,MAAN ALUMINIUM L,8085687168.00,8085687168.00,149.50,52.14,20.65,8101662000.00
EVI IN Equity,EVEREST INDUSTRI,8085641752.30,8085641752.30,509.95,,-34.14,17059904000.00
KAUN IN Equity,KUANTUM PAPERS L,8079739501.70,8079739501.70,92.59,7.01,-23.18,11070386000.00
IBC IN Equity,INDO BORAX & CH,8076732100.00,8076732100.00,251.69,19.00,41.05,1752611000.00
SDSH IN Equity,SANDESH LTD,8056891712.40,8056891712.40,1064.40,10.45,-33.01,2879861000.00
OBSCP IN Equity,OBSC PERFECTION,8036281260.00,8036281260.00,328.65,,36.94,1427892000.00
SPICE IN Equity,SPEL SEMICONDUCT,8035964442.75,8035964442.75,174.25,,-1.33,78642000.00
BKST IN Equity,BEEKAY STEEL IND,8032194699.80,8032194699.80,421.15,9.01,-37.20,10065743000.00
ATSA IN Equity,AUTOMOTIVE STAMP,8029764541.55,8029764541.55,506.15,47.84,-22.70,7752832000.00
NGLF IN Equity,NGL FINE-CHEM,8028342188.00,8028342188.00,1299.50,38.01,-28.16,3682567000.00
RITCO IN Equity,RITCO LOGISTICS,8018665373.55,8018665373.55,280.15,17.99,-27.91,11896859000.00
GCY IN Equity,MUNJAL AUTO INDU,8013000000.00,8013000000.00,80.13,22.01,-16.69,20462648000.00
PS IN Equity,VOITH FABRICS IN,8011588360.10,8011588360.10,1823.90,20.08,-14.56,1883860000.00
APSLTD IN Equity,AUSTRALIAN PREMI,7996824500.00,7996824500.00,398.05,20.08,-20.98,4328030000.00
ACCENTMI IN Equity,ACCENT MICROCELL,7982346405.00,7982346405.00,332.75,22.39,30.79,2645769000.00
SPII IN Equity,SUPREME INFRASTR,7968124551.20,7968124551.20,82.37,,-38.79,661656000.00
ARUNIS IN Equity,ARUNIS ABODE LTD,7953450000.00,7953450000.00,155.95,,1939.54,5160740.00
TAA IN Equity,TANEJA AEROSPACE,7943416964.00,7943416964.00,311.50,43.94,-25.58,406169000.00
KARNIKA IN Equity,KARNIKA INDUSTRI,7935680000.00,7935680000.00,128.00,44.02,70.82,1725485000.00
SVLL IN Equity,SHREE VASU LOGIS,7930653000.00,7930653000.00,690.00,363.16,101.75,1461128000.00
FERMENTA IN Equity,FERMENTA BIOTECH,7916935503.00,7916935503.00,269.00,10.21,-25.57,4694773000.00
DHARMAJ IN Equity,DHARMAJ CROP GUA,7916678615.04,7916678615.04,234.24,22.72,-8.27,9510440000.00
VRI IN Equity,VIRAT INDUS LTD,7900696416.00,7900696416.00,544.00,295.65,36.68,299979000.00
AHCL IN Equity,ANLON HEALTHCARE,7894592295.00,7894592295.00,148.53,,,1202866000.00
WANB IN Equity,WANBURY LTD,7849383272.50,7849383272.50,238.75,25.62,-18.01,5995142000.00
CHANDAN IN Equity,CHANDAN HEALTHCA,7849112544.00,7849112544.00,321.00,29.78,,2301208000.00
CEWATER IN Equity,CONCORD ENVIRO S,7832489378.85,7832489378.85,378.45,13.46,-49.23,5944390000.00
ISL IN Equity,IND-SWIFT LABORA,7826548412.20,7826548412.20,95.90,2.57,-11.67,5617125000.00
MUKKA IN Equity,MUKKA PROTEINS L,7803000000.00,7803000000.00,26.01,16.78,-36.93,9800260000.00
YOGI IN Equity,YOGI LTD,7792538000.00,7792538000.00,180.55,328.27,245.68,3405932000.00
NRA IN Equity,NR AGARWAL INDUS,7787940160.00,7787940160.00,457.60,44.13,31.17,16590317000.00
OWAM IN Equity,OSWAL AGRO MILLS,7782932312.48,7782932312.48,57.98,6.89,-16.47,1617669000.00
TTM IN Equity,TITAN BIO-TECH,7779033995.00,7779033995.00,941.35,36.12,28.74,1564508000.00
LICN100 IN Equity,LIC ETF NIFTY100,7763332208.80,7763332208.80,291.37,,10.32,
DHAMSU IN Equity,DHAMPUR SUGAR,7745075943.96,7745075943.96,120.44,15.09,-25.38,26563800000.00
MWL IN Equity,MANGALAM WORLDWI,7734352516.34,7734352516.34,260.41,24.59,51.67,10607096000.00
BGIN IN Equity,BHAGERIA INDUSTR,7721091883.80,7721091883.80,176.91,19.10,-7.74,5921965000.00
MRIN IN Equity,MODERN INSULATOR,7703313260.00,7703313260.00,163.40,19.98,13.51,5032717000.00
ARGL IN Equity,ARROW GREENTECH,7679006045.10,7679006045.10,508.95,12.17,-34.81,2433500000.00
EXHICON IN Equity,EXHICON EVENTS M,7668651325.00,7668651325.00,549.35,19.35,51.18,1834900000.00
KRYSTAL IN Equity,KRYSTAL INTEGRAT,7668505855.20,7668505855.20,548.85,17.61,-23.94,12127840000.00
REMUS IN Equity,REMUS PHARMACEUT,7667259600.00,7667259600.00,650.65,13.19,-47.83,6203600000.00
SBM IN Equity,SOBHAGYA MERCANT,7659540000.00,7659540000.00,911.85,35.45,213.51,2037603000.00
VIVIANA IN Equity,VIVIANA POWER TE,7658398720.00,7658398720.00,756.40,43.72,15.61,1883746000.00
ROBU IN Equity,MACFOS LTD,7625741645.80,7625741645.80,809.80,42.31,-39.60,2550614000.00
POLYSIL IN Equity,POLYSIL IRRIGATI,7608970929.00,7608970929.00,338.10,,1120.58,138884000.00
ADVX IN Equity,AXTEL INDUSTRIES,7608910800.00,7608910800.00,471.00,42.20,-1.69,1785587000.00
SAHASRA IN Equity,SAHASRA ELECTRON,7606547419.05,7606547419.05,304.35,271.51,-42.31,958377000.00
ADVANCE IN Equity,ADVANCE AGROLIFE,7599214961.20,7599214961.20,118.21,,,5022600000.00
GRCSL IN Equity,GRETEX CORP SRVS,7586445179.70,7586445179.70,335.10,576.15,-18.16,387131000.00
AXGOLD IN Equity,AXIS GOLD ETF,7578413088.00,7578413088.00,107.79,,67.19,
SACHEERO IN Equity,SACHEEROME LTD,7568718240.00,7568718240.00,338.30,,,1075359000.00
BHP IN Equity,BHARAT PARENTERA,7546010288.70,7546010288.70,1094.90,,-25.35,3403800000.00
PROZONER IN Equity,PROZONE REALTY L,7540108449.03,7540108449.03,49.41,,78.31,1787252000.00
RJPM IN Equity,RAJAPALAYAM MILL,7539357540.00,7539357540.00,817.70,44.12,-26.72,8984800000.00
GEMAROMA IN Equity,GEM AROMATICS LT,7538863756.16,7538863756.16,144.32,,,5039530000.00
VLC IN Equity,VALIANT COMM,7531755742.50,7531755742.50,658.25,78.36,79.25,508511000.00
VORG IN Equity,VALIANT ORGANICS,7527639168.00,7527639168.00,268.80,,-12.26,7187618000.00
DBNKETF IN Equity,DSP NFTY ETF,7516240680.00,7516240680.00,60.85,,18.11,
NINSYS IN Equity,NINTEC SYSTEMS L,7481484000.00,7481484000.00,402.75,28.42,-26.65,1398042000.00
ERAAYA IN Equity,ERAAYA LIFESPACE,7461862480.80,7461862480.80,39.13,,-67.89,213850000.00
PM IN Equity,PERMANENT MAGNET,7454858751.00,7454858751.00,867.00,47.38,-10.05,1973100000.00
DITV IN Equity,DISH TV INDIA,7420262300.62,7420262300.62,4.03,,-60.99,15518700000.00
REGAAL IN Equity,REGAAL RESOURCES,7419715515.80,7419715515.80,72.23,,,9151610000.00
PATELRMA IN Equity,PATEL RETAIL LTD,7408237110.40,7408237110.40,221.80,,,8206929000.00
CHEMCON IN Equity,CHEMCON SPECIALI,7382185172.53,7382185172.53,201.53,30.19,-10.82,2074018000.00
EMKAY IN Equity,EMKAY GLOBAL FIN,7382115814.20,7382115814.20,288.30,12.93,-7.11,3361694000.00
NIGI IN Equity,NITTA GELATIN IN,7381357080.00,7381357080.00,813.00,8.79,7.64,5327175000.00
KRSE IN Equity,KSE LTD,7374400000.00,7374400000.00,230.45,8.08,1.08,16495280000.00
JITFIN IN Equity,JITF INFRALOGIST,7371822880.80,7371822880.80,286.80,,-58.57,22648104000.00
SHREEREF IN Equity,SHREE REFRIGERAT,7359460978.95,7359460978.95,206.55,,,987270000.00
SRPL IN Equity,SARLA PERFORMANC,7346593940.00,7346593940.00,87.98,11.78,-19.59,4271009000.00
ALPHA IN Equity,KOTAK-NIFTY-A50,7338916860.00,7338916860.00,48.95,,-9.65,
JGI IN Equity,JAGATJIT INDS,7330972510.40,7330972510.40,165.55,,-30.86,4915400000.00
LIKHITHA IN Equity,LIKHITHA INFRAST,7320342000.00,7320342000.00,185.56,10.56,-47.02,5200860000.00
RJS IN Equity,RSWM LTD,7314891525.20,7314891525.20,155.30,,-18.97,48258286000.00
GCVL IN Equity,GEECEE VENTURES,7294011075.20,7294011075.20,348.80,15.60,-19.86,1276663000.00
MALI IN Equity,MALLCOM INDIA LT,7292064000.00,7292064000.00,1168.60,12.70,-23.07,4867765000.00
ZTECH IN Equity,Z-TECH INDIA LTD,7259703636.80,7259703636.80,506.60,29.80,-10.97,943990372.00
KTPC IN Equity,KOTHARI PETROCHE,7255172656.00,7255172656.00,123.29,11.03,-36.15,5735826000.00
VTML IN Equity,VTM LTD,7249013520.00,7249013520.00,72.08,15.98,4.92,3445268000.00
UNIFIED IN Equity,UNIFIED DATA-TEC,7238463030.00,7238463030.00,360.30,21.24,,2202600000.00
NIFPHETF IN Equity,NIPP NIFTY PHARM,7235542796.00,7235542796.00,23.48,,-1.51,
BORANA IN Equity,BORANA WEAVES LT,7220874945.00,7220874945.00,271.00,22.91,,1990556000.00
ZFSG IN Equity,ZF STEERING GEAR,7213273500.00,7213273500.00,795.00,48.35,-45.92,4865500000.00
TIRUPATI IN Equity,SHREE TIRUPATI B,7212588480.00,7212588480.00,712.00,50.28,-18.63,2083037000.00
CHEMFAB IN Equity,CHEMFAB ALKALIS,7201810627.50,7201810627.50,501.25,,-51.05,3341372000.00
DINL IN Equity,DHUNSERI INVESTM,7200767218.00,7200767218.00,1181.00,7.93,-40.49,5184427000.00
MERCURYE IN Equity,MERCURY EV-TECH,7199978898.20,7199978898.20,37.90,96.19,-57.91,896364000.00
NSM IN Equity,NAHAR SPINNING,7189978806.08,7189978806.08,199.36,64.52,-25.11,32845580000.00
KAMD IN Equity,KAMDHENU LTD,7185197670.00,7185197670.00,25.49,11.53,-47.04,7474887000.00
TPI IN Equity,TRANSPEK INDUS,7183041734.00,7183041734.00,1286.00,14.74,-17.66,6480623000.00
RUBY IN Equity,RUBY MILLS LTD,7169201600.00,7169201600.00,214.39,16.95,-16.94,2427076000.00
AVADHSUG IN Equity,AVADH SUGAR & EN,7168596202.00,7168596202.00,358.10,8.15,-29.00,26185258000.00
DSIL IN Equity,DWARIKESH SUGAR,7117429462.70,7117429462.70,38.41,30.48,-30.37,13588834000.00
KSOLVES IN Equity,KSOLVES INDIA LT,7117156800.00,7117156800.00,300.15,5.18,-35.53,1374331000.00
MAS250MQ IN Equity,MIRAE NFT SC 250,7115908332.00,7115908332.00,44.04,,-12.15,
ACML IN Equity,AMBIKA COTTON,7082970000.00,7082970000.00,1237.20,10.77,-21.70,7020704000.00
MANBA IN Equity,MANBA FINANCE LT,7076723292.60,7076723292.60,140.86,22.68,-12.72,1915861000.00
LINC IN Equity,LINC LTD,7063148441.72,7063148441.72,118.73,18.55,-25.17,5396313000.00
UFBL IN Equity,UNITED FOODBRAND,7056656308.98,7056656308.98,180.54,,-59.02,12330490000.00
CCD IN Equity,COFFEE DAY ENTER,7043132311.46,7043132311.46,33.34,,47.39,10778600000.00
SUYOG IN Equity,SUYOG TELEMATICS,7023164993.00,7023164993.00,627.65,18.17,-64.29,1925723000.00
KNEL IN Equity,KINETIC ENGINEER,7020986190.90,7020986190.90,299.90,103.77,82.31,1417313000.00
LAXMIIND IN Equity,LAXMI INDIA FINA,7018007576.25,7018007576.25,134.27,15.29,,2457120000.00
PRAVEG IN Equity,PRAVEG LTD,7008320329.50,7008320329.50,268.10,44.98,-62.87,1671760000.00
KHI IN Equity,KAMAT HOTELS,7000337897.12,7000337897.12,237.46,14.88,3.42,3218682000.00
GHCLTEXT IN Equity,GHCL TEXTILES LT,6989232672.32,6989232672.32,73.12,12.48,-26.61,11611600000.00
GLOSTERL IN Equity,GLOSTER LTD,6977969739.00,6977969739.00,637.65,,-3.46,7284057000.00
IIL IN Equity,INTEGRATED INDUS,6938602796.00,6938602796.00,29.80,11.49,0.71,7656700000.00
SATIA IN Equity,SATIA INDUSTRIES,6912000000.00,6912000000.00,69.12,5.83,-27.49,15119869000.00
CELLECOR IN Equity,CELLECOR GADGETS,6907215140.00,6907215140.00,31.30,21.59,-51.73,10259458000.00
SNLL IN Equity,SNOWMAN LOGISTIC,6905746833.35,6905746833.35,41.33,121.56,-41.93,5525345000.00
KECL IN Equity,KIRLOSKAR ELEC,6893780569.80,6893780569.80,103.80,185.36,-40.84,5438239000.00
SCMN IN Equity,SHIVA CEMENT LTD,6841050000.00,6841050000.00,23.19,,-41.65,3111722000.00
RPP IN Equity,RPP INFRA PROJ,6839849424.42,6839849424.42,107.19,8.14,-44.59,14394300000.00
VIESL IN Equity,VISION INFRA EQU,6814855720.00,6814855720.00,276.55,203.03,32.42,4432679000.00
NISUS IN Equity,NISUS FINANCE SE,6813615835.00,6813615835.00,285.35,21.15,-39.07,613767000.00
SRMT IN Equity,SHREE RAMA MULTI,6810872295.15,6810872295.15,51.03,13.26,13.78,2078387000.00
ACL IN Equity,ANDHRA CEMENTS L,6798617046.40,6798617046.40,73.76,,-13.31,2728700000.00
SUNRAKSH IN Equity,SUNRAKSHAKK INDU,6771874200.00,6771874200.00,218.40,97.50,53.68,1040457000.00
UNI IN Equity,UNI ABEX ALLOY,6770793750.00,6770793750.00,3428.25,20.17,27.57,1930861000.00
STC IN Equity,STATE TRADING CO,6768000000.00,6768000000.00,112.80,26.31,-25.79,0.00
NBI IN Equity,NBI INDUSTRIAL F,6748286430.00,6748286430.00,2283.80,85.79,-29.91,129333000.00
SAMC IN Equity,SHRIRAM ASSET,6711257836.80,6711257836.80,396.45,,-30.29,66729000.00
CSLF IN Equity,CSL FINANCE LTD,6698090574.00,6698090574.00,294.00,9.29,-5.95,2118934000.00
VIFL IN Equity,VISHAL FABRICS L,6690422281.06,6690422281.06,27.02,18.38,-19.34,15198300000.00
RDL IN Equity,RUSHIL DECOR,6672298486.80,6672298486.80,22.74,12.99,-31.65,8979440000.00
GFLTD IN Equity,GFL LTD,6659107000.00,6659107000.00,60.62,,-30.30,33161000.00
20ML IN Equity,20 MICRONS LTD,6657151467.32,6657151467.32,188.66,10.67,-19.51,9127852000.00
MGDH IN Equity,MAGADH SUGAR & E,6656181430.50,6656181430.50,472.35,6.08,-24.41,13222850000.00
PARIN IN Equity,PARIN ENTERPRISE,6645228600.00,6645228600.00,597.70,102.66,57.41,1676554000.00
SUBX IN Equity,SUBEX LTD,6631634633.00,6631634633.00,11.80,,-46.31,2856100000.00
MIRC IN Equity,MIRC ELECTRONICS,6598811177.92,6598811177.92,23.53,,5.88,7466900000.00
DMCC IN Equity,DMCC SPECIALITY,6561696372.30,6561696372.30,263.10,30.49,-26.68,4312968000.00
MODIS IN Equity,MODI'S NAVNIRMAN,6555215520.00,6555215520.00,334.60,52.04,29.69,865387000.00
BODL IN Equity,BODAL CHEMICAL,6551610261.30,6551610261.30,52.02,35.39,-22.62,17096040000.00
ATL IN Equity,ALLCARGO TERMINA,6543486011.04,6543486011.04,25.96,22.33,-26.33,7578139000.00
KOP IN Equity,KOPRAN LTD,6538836629.10,6538836629.10,135.42,16.95,-34.92,6296044000.00
ONT IN Equity,ONWARD TECHNOLOG,6523667043.00,6523667043.00,286.90,24.04,-7.59,4913161000.00
SVRL IN Equity,SHRI VENKATESH R,6492022768.00,6492022768.00,293.50,25.70,29.02,9491889000.00
REPR IN Equity,REPRO INDIA LTD,6483375509.10,6483375509.10,451.95,,-16.68,4659500000.00
BANGANGA IN Equity,BANGANGA PAPER I,6478135040.00,6478135040.00,54.08,,-29.77,3940150.00
MMP IN Equity,MMP INDUSTRIES L,6468775400.45,6468775400.45,254.65,16.64,-23.84,6918599000.00
ART IN Equity,ARTSON LTD,6468384000.00,6468384000.00,175.20,186.38,-4.21,1119449000.00
JAO IN Equity,JAYANT AGRO-ORG,6462300000.00,6462300000.00,215.41,11.77,-20.86,25002897000.00
HSBEES IN Equity,NIPPON INDIA ETF,6395378932.80,6395378932.80,523.71,,53.10,
IRIS IN Equity,IRIS BUSINESS SE,6385391518.20,6385391518.20,310.60,47.42,-31.74,1259678000.00
SUDARSHA IN Equity,SUDARSHAN PHARMA,6360613934.10,6360613934.10,26.43,34.78,-40.73,5913861000.00
HDTI IN Equity,MINDTECK INDIA,6359209521.21,6359209521.21,199.01,22.14,-32.60,4244200000.00
NIYOGIN IN Equity,NIYOGIN FINTECH,6357790395.90,6357790395.90,57.15,,-20.99,3039784000.00
SMT IN Equity,APIS INDIA LTD,6350362590.00,6350362590.00,46.10,25.05,331.57,3503496000.00
IRISDORE IN Equity,IRIS CLOTHINGS L,6334231321.60,6334231321.60,33.28,41.34,15.56,1453400000.00
APRAMEYA IN Equity,APRAMEYA ENGINEE,6302240000.00,6302240000.00,331.00,35.71,215.99,1357071000.00
NILASPAC IN Equity,NILA SPACES LTD,6290410524.00,6290410524.00,15.97,43.16,-5.50,1357982000.00
MUFTI IN Equity,CREDO BRANDS MAR,6244805939.59,6244805939.59,95.53,9.07,-44.00,6181800000.00
CVC IN Equity,CHEVIOT CO LTD,6229775500.00,6229775500.00,1066.40,10.87,-16.81,4394261000.00
TREL IN Equity,TRANSINDIA REAL,6223467622.92,6223467622.92,25.33,11.84,-34.34,826300000.00
UGL IN Equity,URJA GLOBAL LTD,6210858916.14,6210858916.14,11.82,591.00,-30.18,672473000.00
DPEL IN Equity,DIVINE POWER ENE,6210063650.00,6210063650.00,248.75,54.79,82.30,3416678000.00
MONIKA IN Equity,MONIKA ALCOBEV L,6207618713.40,6207618713.40,289.40,,,2361487000.00
TACF IN Equity,TUTICORIN ALKALI,6207535538.50,6207535538.50,50.95,9.99,-47.99,3094882000.00
SILVERAG IN Equity,MIR-AST-SLVR-ETF,6203102757.00,6203102757.00,173.45,,103.60,
THEINVES IN Equity,INVESTMENT TRUST,6177119738.08,6177119738.08,118.24,14.53,-39.77,3649909000.00
AHOT IN Equity,ASIAN HOTELS NOR,6175427546.05,6175427546.05,317.45,3.30,-0.95,3181924000.00
VERTOZ IN Equity,VERTOZ LTD,6162981300.00,6162981300.00,72.31,23.70,-47.94,2551992000.00
ESL IN Equity,ESSAR SHIPPING L,6145119577.68,6145119577.68,29.69,0.93,-16.13,102700000.00
HDCM IN Equity,HINDUSTAN COMP,6127658100.00,6127658100.00,414.90,17.51,-24.42,2859585000.00
VISA IN Equity,VISA STEEL LTD,6124106655.00,6124106655.00,52.89,,55.70,5664900000.00
ONMB IN Equity,ONMOBILE GLOBAL,6116667323.03,6116667323.03,57.53,,-13.95,5730240000.00
VINSYS IN Equity,VINSYS IT SERVIC,6106017632.00,6106017632.00,416.00,20.33,-1.19,2144706000.00
TERA IN Equity,TERA SOFTWARE,6097662281.25,6097662281.25,487.35,64.81,158.91,1076438000.00
SOUTHWES IN Equity,SOUTH WEST PINNA,6093674647.08,6093674647.08,204.28,34.98,35.96,1802950000.00
